name,date,description
BTC Exchange Opens,3/25/11,First BTC/GBP exchange market for Britcoin opens
2011 Bubble,4/12/11,2011 bubble or first bitcoin bubble
MtGox Database Breaks,6/19/11,MtGox database break caused market to drop below 1 cent in matter of minutes
Bitcoin criticized,9/7/11,Paul Krugman criticizes Bitcoin from Keynesian standpoint
Bitcoin Foundation,9/27/11,Bitcoin Foundation created
Bitcoin heist,11/3/11,"Bitcoin Savings and Trust shuts down, largest Bitcoin heist in history, 263024 bitcoins lost"
Large theft,3/1/12,Largest theft of bitcoins to date occurred after security breach
2012 bubble,8/17/12,2012 bubble almost formed because market corrected too soon
Blockchain fork,3/12/13,Blockchain fork due to glitch
Bitcoin crash,4/10/13,Crash influenced by DDoS attacks and MtGox scaling issues
Bitcoin -24 shuts down,4/11/13,Bitcoin-24 shuts down because Poland bank account confiscated
San Jose Conference,5/17/13,First San Jose bitcoin conference
Mt Gox suspends USD,6/20/13,MtGox suspends USD withdrawals for 2 weeks
Bitcoin = private money,8/16/13,German finance minister gives official opinion that bitcoin is private money that can be used for tax and trading purposes in the country
Germany - No Sales tax ,10/11/13,Official announcement: no sales tax when buying bitcoins in Germany
$886K Bitcoin,10/29/13,Man buys $27 of bitcoin and then finds out they are worth $886K 
BTC China fees,11/11/13,BTCChina introduces trading fees
Bitcoin not currency,12/4/13,China issues regulation notice that Bitcoin is not a currency
Apple pulls Blockchain,2/6/14,"Bitfinex glitch causes craziness for a few hours, Apple pulls Blockchain.info off App store, which causes outrage among Bitcoin users"
Icelandic Central Bank,2/13/14,Icelandic Central bank rules buying BTC with fiat illegal
Mt Gox bankruptcy,2/28/14,"Mt. Gox files for bankruptcy protection, 850K bitcoins were lost"
