date,average,transactions_all,unique_addresses,total_volume,usd_volume,transactions
12/1/2012,12.68778,37722,29164,132458,1680602,11120
12/2/2012,12.68,20555,21186,118130,1497889,9125
12/3/2012,12.67901,22407,23333,196436,2490609,10100
12/4/2012,12.96675,28050,26758,218093,2827956,12567
12/5/2012,13.5,33176,32849,234930,3171557,15444
12/6/2012,13.6888,37201,29988,218965,2997371,13567
12/7/2012,13.68,32887,29236,215837,2952653,13165
12/8/2012,13.55,31857,29214,167651,2271669,12342
12/9/2012,13.53,32838,29112,117806,1593918,10725
12/10/2012,13.55,38474,26865,205376,2782848,11427
12/11/2012,13.63999,36341,28917,274580,3745266,13759
12/12/2012,13.63999,35322,30888,241682,3296536,15568
12/13/2012,13.79989,40260,33996,314719,4343094,16335
12/14/2012,13.90119,41397,33491,239227,3325537,15406
12/15/2012,13.7722,33526,27511,183552,2527910,12951
12/16/2012,13.66548,33989,28933,105971,1448144,12793
12/17/2012,13.498,40828,32044,201625,2721531,14148
12/18/2012,13.399,46590,38406,247528,3316622,17696
12/19/2012,13.399,49016,36002,236504,3168923,15338
12/20/2012,13.72,36133,30200,165379,2268999,13459
12/21/2012,13.6475,40658,32608,211096,2880933,14440
12/22/2012,13.58998,52012,43693,154215,2095778,17743
12/23/2012,13.48547,39228,32573,101679,1371186,13366
12/24/2012,13.45,37099,29026,156110,2099685,12433
12/25/2012,13.45,27560,25045,111224,1495956,10570
12/26/2012,13.3989,35740,24110,122188,1637184,10458
12/27/2012,13.47,43119,27812,155966,2100867,11786
12/28/2012,13.6499,47514,31561,174286,2378987,13903
12/29/2012,13.67,39248,30563,163625,2236756,13465
12/30/2012,13.56998,43751,35482,113709,1543025,13982
12/31/2012,13.59,34228,29019,182152,2475450,12771
1/1/2013,13.561,28620,26713,118193,1602809,13402
1/2/2013,13.4,38986,33739,238887,3201079,16168
1/3/2013,13.464,41413,38262,157948,2126607,16346
1/4/2013,13.48986,49926,37428,215143,2902247,17197
1/5/2013,13.548,38931,41926,196090,2656625,17779
1/6/2013,13.52999,34519,33185,142261,1924788,14541
1/7/2013,13.535,40860,39233,167054,2261081,18022
1/8/2013,13.83,35390,36996,237421,3283526,17221
1/9/2013,13.87998,43335,40935,259737,3605151,18713
1/10/2013,14.32,51393,43702,228352,3269999,18709
1/11/2013,14.29999,54662,48496,212328,3036287,21245
1/12/2013,14.34999,46836,37486,172918,2481379,16558
1/13/2013,14.3148,46837,40823,167325,2395221,17011
1/14/2013,14.3,43799,32734,179173,2562176,11426
1/15/2013,14.47899,45653,46112,237188,3434237,18759
1/16/2013,14.689,52197,45312,238407,3501965,20191
1/17/2013,15.39,48021,42042,274678,4227298,18105
1/18/2013,15.985,50896,44445,245541,3924975,19672
1/19/2013,15.84304,56455,38673,169197,2680590,17361
1/20/2013,15.89,41636,34725,123269,1958748,15391
1/21/2013,16.98,41357,32882,191390,3249803,15064
1/22/2013,17.59,40199,37266,263059,4627210,17717
1/23/2013,17.5889,48267,36782,300130,5278948,15651
1/24/2013,19.18999,46607,39004,325163,6239882,18013
1/25/2013,18.8348,46045,39799,268574,5058533,17648
1/26/2013,17.61926,53420,40491,245015,4316975,18217
1/27/2013,17.99999,53451,40004,159274,2866938,15097
1/28/2013,18.45,52321,42353,205433,3790244,15489
1/29/2013,19.8,53617,41643,403577,7990832,16871
1/30/2013,19.7,45810,36938,295506,5821471,15673
1/31/2013,21.43,46104,34477,368120,7888807,16151
2/1/2013,21.3,56756,47420,367158,7820473,18857
2/2/2013,21.1,58834,45504,326136,6881472,17195
2/3/2013,20.68,56212,41758,179644,3715043,16063
2/4/2013,21.05,57480,41685,186739,3930857,17793
2/5/2013,20.79,53445,48193,264011,5488783,23339
2/6/2013,21.3339,44783,42634,281895,6013928,19292
2/7/2013,22.15,58215,44112,269457,5968476,20165
2/8/2013,22.15,65928,46037,229395,5081092,20339
2/9/2013,23.69997,50847,39368,178194,4223189,18145
2/10/2013,23.61458,57363,45554,175246,4138363,19130
2/11/2013,24.1955,58835,41240,182959,4426788,17980
2/12/2013,25.76997,58851,41227,274003,7061048,18044
2/13/2013,26.09999,57398,40152,285150,7442413,16306
2/14/2013,26.53092,53849,39268,260520,6911848,16938
2/15/2013,26.99898,57505,39955,344516,9301568,17621
2/16/2013,27.07009,51218,37901,175740,4757302,15288
2/17/2013,25.6083,50400,36500,236938,6067576,14025
2/18/2013,26.81565,46318,36918,242323,6498036,16948
2/19/2013,28.78999,55598,39259,244979,7052943,17024
2/20/2013,29.81231,57613,39597,291622,8693920,18246
2/21/2013,29.80012,58996,42228,253356,7550047,17319
2/22/2013,30.901,58920,43549,258377,7984098,18214
2/23/2013,29.27998,59386,41330,234715,6872440,17264
2/24/2013,30.29777,57795,41919,281188,8519378,16542
2/25/2013,30.25001,65164,43083,309019,9347841,18072
2/26/2013,31.179,62005,45961,272968,8510870,19560
2/27/2013,31.40181,62952,44197,221600,6958644,18801
2/28/2013,33.50001,60993,43778,299563,10035372,18805
3/1/2013,34.87799,65797,51127,316864,11051582,21543
3/2/2013,34.1808,60659,40918,254575,8701573,17076
3/3/2013,34.10007,49631,34273,114778,3913950,12171
3/4/2013,36.35,64257,40375,193638,7038733,15521
3/5/2013,40.04,56039,45553,289132,11576858,19584
3/6/2013,47.5,66437,52412,347388,16500940,22597
3/7/2013,42.49271,62423,51281,335040,14236746,21897
3/8/2013,42.98,64814,48391,237957,10227395,20883
3/9/2013,46.01112,47671,41355,163027,7501033,17031
3/10/2013,46.5,71330,45331,150118,6980508,21134
3/11/2013,47.7397,67610,42498,190216,9080832,16726
3/12/2013,45.01771,44410,39137,239629,10787528,16241
3/13/2013,46.79999,56177,54264,275857,12910091,21106
3/14/2013,47.27589,58832,47557,237724,11238606,20062
3/15/2013,47.25005,60064,51067,226170,10686563,21269
3/16/2013,47.11,43349,42592,160162,7545209,18441
3/17/2013,47.4419,34164,41008,132482,6285177,17045
3/18/2013,47.65,39391,42920,196394,9358180,18909
3/19/2013,57.76,48705,52355,325116,18778701,24456
3/20/2013,63.40967,42579,49153,291099,18458516,22644
3/21/2013,73.8,53840,51230,278802,20575585,23399
3/22/2013,71.5,60129,58318,304877,21798712,26586
3/23/2013,63,58002,50716,240706,15164498,21877
3/24/2013,70.1,49834,57950,181828,12746163,24640
3/25/2013,73.88798,51011,51092,280494,20725155,25239
3/26/2013,78,47247,56598,266716,20803865,24202
3/27/2013,88.9,51993,56615,255955,22754365,27533
3/28/2013,93.56701,57170,65540,295981,27694065,33404
3/29/2013,89.05,66205,69638,308497,27471685,30644
3/30/2013,90.99999,59787,60390,247269,22501470,27512
3/31/2013,92.50001,44586,49192,134107,12404884,19301
4/1/2013,102.51001,52469,55367,184951,18959344,22308
4/2/2013,108.73,60268,70819,405801,44122791,31188
4/3/2013,138.79,65172,85804,387081,53722991,35082
4/4/2013,131.99899,69048,86046,368179,48599278,37589
4/5/2013,143.8,56063,82343,243990,35085713,35283
4/6/2013,142.49765,57200,68732,190632,27164658,28026
4/7/2013,160.0997,58820,74149,165900,26560533,24956
4/8/2013,184,63470,93700,289590,53284490,33537
4/9/2013,237.99,61429,85063,342542,81521567,41695
4/10/2013,198,68820,102016,550847,109067655,51424
4/11/2013,123.40098,67725,100830,668929,82546454,49068
4/12/2013,76.488,60395,87352,488570,37369768,38277
4/13/2013,109.49999,55361,72076,291709,31942149,30788
4/14/2013,91,53417,57080,184965,16831788,23683
4/15/2013,91,55211,80731,227880,20737112,26799
4/16/2013,91,65797,79311,551345,50172395,33656
4/17/2013,85.59999,56164,84698,319316,27333438,33585
4/18/2013,96.5,52605,72737,263180,25396871,28758
4/19/2013,119.62,57863,87326,274850,32877531,35919
4/20/2013,123.86,48016,61190,172932,21419354,26508
4/21/2013,125,45154,59238,152132,19016504,24490
4/22/2013,123.515,46737,77777,155334,19186064,27482
4/23/2013,136.08099,57304,72900,178285,24261219,31435
4/24/2013,153.20019,67982,85420,250437,38367051,33651
4/25/2013,151.12001,61214,73729,258174,39015200,31385
4/26/2013,135.601,56533,74621,252280,34209360,28596
4/27/2013,128.00001,48325,62711,220611,28238248,24631
4/28/2013,135.98999,40986,107554,166225,22604933,22747
4/29/2013,141.50002,50009,73687,290789,41146625,26969
4/30/2013,139.109,48795,60887,231312,32177596,23008
5/1/2013,124.2998,50437,61672,264302,32852709,21859
5/2/2013,105.00003,57278,67744,313279,32894260,25060
5/3/2013,93.15,55859,70210,371820,34635058,24258
5/4/2013,111.98979,48349,56115,169220,18950865,15849
5/5/2013,117.89001,49419,55974,185945,21921071,18836
5/6/2013,120.94999,51244,64381,269779,32629783,21881
5/7/2013,106.81,59215,89457,454666,48562835,25195
5/8/2013,113.95001,47359,95352,324744,37004568,22722
5/9/2013,109.56154,66370,70728,166499,18241861,22748
5/10/2013,117.68,67937,72244,197384,23228110,22915
5/11/2013,115.4,70410,67240,206828,23867944,19032
5/12/2013,114.32,69320,61435,212122,24249742,16877
5/13/2013,117.50298,62190,65440,261860,30769361,20668
5/14/2013,119,63287,68323,197623,23517128,23849
5/15/2013,114.98499,66411,70212,286208,32909614,25684
5/16/2013,115.09024,60543,67246,214135,24644887,24521
5/17/2013,124.49,60896,64560,177897,22146420,24207
5/18/2013,123.74995,51982,55716,214501,26544450,20309
5/19/2013,121.05628,47090,51111,115291,13956677,19749
5/20/2013,122.65001,50093,56966,120053,14724449,22777
5/21/2013,122.5,54664,63976,148941,18245244,25660
5/22/2013,122.64,53981,65369,138219,16951150,26152
5/23/2013,125.67,54824,65171,137576,17289155,27526
5/24/2013,131.5,55106,67558,139596,18356907,28039
5/25/2013,132.69,55836,60147,243635,32327914,23535
5/26/2013,134.04701,39879,52307,69528,9320070,21271
5/27/2013,132.60997,52377,59395,90813,12042696,23661
5/28/2013,128.321,55138,56871,170466,21874406,23687
5/29/2013,129.97994,54919,66689,151156,19647286,28068
5/30/2013,130.99589,57170,63212,152657,19997417,26280
5/31/2013,127.34072,57616,62386,169807,21623319,26683
6/1/2013,129.19945,52390,59033,95938,12395126,24103
6/2/2013,120.60293,51011,50677,113861,13732010,22606
6/3/2013,120.00002,52048,58321,180238,21628549,24941
6/4/2013,120.56663,60118,63518,219563,26471944,27822
6/5/2013,122.4051,54947,67477,168716,20651649,25005
6/6/2013,120.68998,55918,60098,160890,19417857,26355
6/7/2013,110.29501,54331,60504,236003,26030000,26956
6/8/2013,107.8,47973,51054,139005,14984729,23628
6/9/2013,98.47045,46237,45062,230002,22648423,20874
6/10/2013,104.96851,42406,48672,160359,16832628,20842
6/11/2013,108,51208,57169,144557,15612162,23435
6/12/2013,108.16201,46417,52722,174424,18866053,21829
6/13/2013,109,43302,53645,133983,14604148,22731
6/14/2013,100,48124,60855,192238,19223831,26318
6/15/2013,101.96998,41531,52008,140122,14288249,21820
6/16/2013,100,40076,37955,103444,10344407,17331
6/17/2013,100.52521,43399,45693,119282,11990884,20823
6/18/2013,107.38999,47025,48967,145327,15606614,23060
6/19/2013,107.835,46903,55778,139175,15007887,25363
6/20/2013,111.97,49440,54530,148692,16649030,26110
6/21/2013,111,52994,58295,183146,20329253,26124
6/22/2013,109.09,42571,49708,106738,11644047,21725
6/23/2013,107.68389,40634,41462,103163,11109021,18176
6/24/2013,101.96936,40963,48326,156809,15989704,21731
6/25/2013,103.86665,45588,50770,145328,15094720,24761
