datetime,total_vol
1/3/2009,0
1/4/2009,0
1/5/2009,0
1/6/2009,0
1/7/2009,0
1/8/2009,0
1/9/2009,0
1/10/2009,0
1/11/2009,0
1/12/2009,24
1/13/2009,10
1/14/2009,0
1/15/2009,414
1/16/2009,100
1/17/2009,100
1/18/2009,0
1/19/2009,150
1/20/2009,775
1/21/2009,500
1/22/2009,500
1/23/2009,150
1/24/2009,800
1/25/2009,50
1/26/2009,0
1/27/2009,1150
1/28/2009,0
1/29/2009,0
1/30/2009,600
1/31/2009,0
2/1/2009,1100
2/2/2009,0
2/3/2009,115
2/4/2009,38
2/5/2009,0
2/6/2009,0
2/7/2009,1150
2/8/2009,1000
2/9/2009,2200
2/10/2009,0
2/11/2009,350
2/12/2009,200
2/13/2009,0
2/14/2009,0
2/15/2009,900
2/16/2009,0
2/17/2009,1500
2/18/2009,0
2/19/2009,0
2/20/2009,800
2/21/2009,0
2/22/2009,1050
2/23/2009,0
2/24/2009,0
2/25/2009,0
2/26/2009,0
2/27/2009,0
2/28/2009,1800
3/1/2009,350
3/2/2009,0
3/3/2009,400
3/4/2009,0
3/5/2009,1200
3/6/2009,400
3/7/2009,0
3/8/2009,1550
3/9/2009,0
3/10/2009,0
3/11/2009,0
3/12/2009,150
3/13/2009,750
3/14/2009,0
3/15/2009,0
3/16/2009,2400
3/17/2009,0
3/18/2009,0
3/19/2009,700
3/20/2009,600
3/21/2009,0
3/22/2009,550
3/23/2009,0
3/24/2009,0
3/25/2009,0
3/26/2009,1400
3/27/2009,0
3/28/2009,1000
3/29/2009,0
3/30/2009,0
3/31/2009,1600
4/1/2009,0
4/2/2009,0
4/3/2009,0
4/4/2009,0
4/5/2009,0
4/6/2009,850
4/7/2009,0
4/8/2009,0
4/9/2009,0
4/10/2009,0
4/11/2009,350
4/12/2009,0
4/13/2009,960
4/14/2009,0
4/15/2009,0
4/16/2009,0
4/17/2009,0
4/18/2009,115
4/19/2009,450
4/20/2009,2250
4/21/2009,3500
4/22/2009,0
4/23/2009,0
4/24/2009,0
4/25/2009,0
4/26/2009,750
4/27/2009,0
4/28/2009,0
4/29/2009,0
4/30/2009,1000
5/1/2009,0
5/2/2009,0
5/3/2009,699
5/4/2009,50
5/5/2009,1500
5/6/2009,500
5/7/2009,0
5/8/2009,0
5/9/2009,0
5/10/2009,0
5/11/2009,50
5/12/2009,0
5/13/2009,51
5/14/2009,101
5/15/2009,50
5/16/2009,500
5/17/2009,0
5/18/2009,0
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,0
5/26/2009,0
5/27/2009,0
5/28/2009,0
5/29/2009,3000
5/30/2009,0
5/31/2009,0
6/1/2009,0
6/2/2009,0
6/3/2009,0
6/4/2009,0
6/5/2009,0
6/6/2009,0
6/7/2009,0
6/8/2009,0
6/9/2009,0
6/10/2009,0
6/11/2009,0
6/12/2009,0
6/13/2009,0
6/14/2009,0
6/15/2009,0
6/16/2009,0
6/17/2009,0
6/18/2009,0
6/19/2009,0
6/20/2009,0
6/21/2009,0
6/22/2009,3000
6/23/2009,0
6/24/2009,125
6/25/2009,0
6/26/2009,1000
6/27/2009,0
6/28/2009,25
6/29/2009,0
6/30/2009,125
7/1/2009,100
7/2/2009,0
7/3/2009,10
7/4/2009,0
7/5/2009,0
7/6/2009,0
7/7/2009,0
7/8/2009,0
7/9/2009,0
7/10/2009,0
7/11/2009,0
7/12/2009,0
7/13/2009,0
7/14/2009,0
7/15/2009,0
7/16/2009,0
